n,m,real[M_mn_rho],imag[M_mn_rho],real[M_mn_theta],imag[M_mn_theta],real[M_mn_phi],imag[M_mn_phi]
1,-1,0.,0,5.066059182120014e-6,-0.0015915494309189531,-0.0015598244042259151,-4.965075285761565e-6
1,0,0.,0,0.,0.,-0.0006323841207358578,-2.0129411749599165e-6
1,1,0.,0,0.000010132118364240027,-0.0031830988618379063,0.0031196488084518303,9.93015057152313e-6
2,-2,0.,0,0.00015809122464089225,1.5097058812218724e-6,1.479612276555917e-6,-0.0001549399255205303
2,-1,0.,0,-0.0015597769912494414,-0.000014895225857303782,-0.00001399844851790064,0.0014658695424013908
2,0,0.,0,0.,0.,-0.000017755347318671004,0.0018592791062463634
2,1,0.,0,-0.009358661947496648,-0.00008937135514382268,0.00008399069110740388,-0.00879521725440835
2,2,0.,0,-0.003794189391381414,-0.00003623294114932494,0.000035510694637342,-0.003718558212492726
3,-3,0.,0,-1.4996232987317647e-7,7.85101473696817e-6,7.694517145841549e-6,1.4697306744390348e-7
3,-2,0.,0,2.9591495950729234e-6,-0.00015492108651191634,-0.0001487134674054694,-2.840577785522668e-6
3,-1,0.,0,-0.000028895961845303586,0.0015127973970410216,0.0013287518249683015,0.000025380505090279718
3,0,0.,0,0.,0.,0.003606557357983806,0.00006888889682983308
3,1,0.,0,-0.0003467515421436431,0.018153568764492263,-0.015945021899619608,-0.0003045660610833564
3,2,0.,0,-0.0003550979514087507,0.018590530381429958,-0.017845616088656327,-0.00034086933426272025
3,3,0.,0,-0.00010797287750868705,0.005652730610617082,-0.005540052345005917,-0.00010582060855961053
4,-4,0.,0,-2.598802799465811e-7,-8.275139093454433e-9,-8.110187252482161e-9,2.5469997661566965e-7
4,-3,0.,0,7.692178020524181e-6,2.4493525659020665e-7,2.367648260271652e-7,-7.435586106113115e-6
4,-2,0.,0,-0.00015074730090353848,-4.800113664630601e-6,-4.477345729473992e-6,0.00014061079197009603
4,-1,0.,0,0.001451422734105265,0.000046216377058666495,0.00003671240817867625,-0.001152951123508517
4,0,0.,0,0.,0.,0.00018363553404034976,-0.005767063665708619
4,1,0.,0,0.029028454682105298,0.0009243275411733299,-0.000734248163573525,0.023059022470170335
4,2,0.,0,0.054269028325273846,0.0017280409192670164,-0.0016118444626106378,0.0506198851092346
4,3,0.,0,0.038768577223441875,0.0012344736932146418,-0.001193294723176912,0.03747535397481008
4,4,0.,0,0.01047837288744615,0.0003336536082480827,-0.0003270027500200808,0.0102695030571438