n,m,real[M_mn_rho],cmplx[M_mn_rho],real[M_mn_theta],cmplx[M_mn_theta],real[M_mn_phi],cmplx[M_mn_phi]
1,-1,0.,0,-7.257514974255005e-42,-4.0437374274015874e-42,-3.963131902162023e-42,7.112847864449673e-42
1,0,0.,0,0.,0.,-1.6067332172256315e-42,2.8836912863407545e-42
1,1,0.,0,-1.451502994851001e-41,-8.087474854803175e-42,7.926263804324046e-42,-1.4225695728899346e-41
2,-2,0.,0,4.108089372214931e-43,-7.37085554100018e-43,-7.223929165830202e-43,-4.026201092492664e-43
2,-1,0.,0,-4.0531682231777596e-42,7.272314389866344e-42,6.834479689518401e-42,3.809144436619839e-42
2,0,0.,0,0.,0.,8.668714998996243e-42,4.8314413109911966e-42
2,1,0.,0,-2.4319009339066557e-41,4.3633886339198063e-41,-4.100687813711043e-41,-2.2854866619719047e-41
2,2,0.,0,-9.859414493315836e-42,1.7690053298400431e-41,-1.733742999799248e-41,-9.66288262198239e-42
3,-3,0.,0,3.784695599692548e-44,2.1102956761864135e-44,2.0682302615931874e-44,-3.709253664561481e-44
3,-2,0.,0,-7.468195820094223e-43,-4.16416616156358e-43,-3.997309873572379e-43,7.1689485316372175e-43
3,-1,0.,0,7.292659412353244e-42,4.066289407010538e-42,3.5715882913222734e-42,-6.40544102071447e-42
3,0,0.,0,0.,0.,9.694163943717966e-42,-1.7385933182022292e-41
3,1,0.,0,8.751191294823894e-41,4.879547288412646e-41,-4.2859059495867255e-41,7.68652922485736e-41
3,2,0.,0,8.961834984113067e-41,4.996999393876295e-41,-4.796771848286856e-41,8.602738237964661e-41
3,3,0.,0,2.7249808317786345e-41,1.519412886854218e-41,-1.4891257883470953e-41,2.670662638484267e-41
4,-4,0.,0,-7.308530878196558e-46,1.3099782369642967e-45,1.2838658877481015e-45,7.162846846841145e-46
4,-3,0.,0,2.163246884109163e-44,-3.8773953159558863e-44,-3.7480550583077896e-44,-2.0910863519612709e-44
4,-2,0.,0,-4.239418641863722e-43,7.598717513515653e-43,7.087766620884122e-43,3.9543528086561875e-43
4,-1,0.,0,4.081790227294371e-42,-7.316184955256846e-42,-5.811679440972379e-42,-3.242407961444965e-42
4,0,0.,0,0.,0.,-2.9070031380675435e-41,-1.6218530658047862e-41
4,1,0.,0,8.163580454588742e-41,-1.4632369910513692e-40,1.1623358881944758e-40,6.48481592288993e-41
4,2,0.,0,1.52619071107094e-40,-2.7355383048656346e-40,2.551595983518285e-40,1.4235670111162284e-40
4,3,0.,0,1.0902764295910181e-40,-1.954207239241767e-40,1.889019749387125e-40,1.05390752138848e-40
4,4,0.,0,2.946799650088852e-41,-5.281832251440043e-41,5.176547259400346e-41,2.88805984864635e-41
5,-5,0.,0,-3.4384875037160913e-47,-1.919774589489518e-47,-1.8815069121475648e-47,3.3699466807169006e-47
5,-4,0.,0,1.357007311488132e-45,7.576436300934437e-46,7.349131931094721e-46,-1.3162950716495084e-45
5,-3,0.,0,-3.9959654159025485e-44,-2.2310253731147582e-44,-2.1188191536682486e-44,3.794994069829757e-44
5,-2,0.,0,7.76295585162057e-43,4.334209552067242e-43,3.8932248690505515e-43,-6.973112955384354e-43
5,-1,0.,0,-7.339495468405366e-42,-4.097783366869982e-42,-2.8105962053743538e-42,5.034028465155048e-42
5,0,0.,0,0.,0.,-2.442311637717582e-41,4.3743979592444445e-41
5,1,0.,0,-2.2018486405216096e-40,-1.2293350100609946e-40,8.431788616123058e-41,-1.5102085395465138e-40
5,2,0.,0,-6.520882915361281e-40,-3.6407360237364845e-40,3.2703088900024623e-40,-5.857414882522856e-40
5,3,0.,0,-8.055866278459538e-40,-4.497747152199352e-40,4.27153941379519e-40,-7.650708044776792e-40
5,4,0.,0,-4.924308131928133e-40,-2.7493372048830882e-40,2.666852995155652e-40,-4.7765715560017355e-40
5,5,0.,0,-1.247758345348495e-40,-6.966478030339562e-41,6.827612282801085e-41,-1.2228862514985491e-40